text,priority,tags
"Critical: Database connection pool exhausted. Production is down. Error: FATAL: remaining connection slots are reserved for non-replication superuser connections",high,"database|backend|critical"
"Security: SQL injection vulnerability in user search endpoint. Attackers can extract sensitive data.",high,"security|backend|critical"
"Production deploy failed: API server crashes on startup with TypeError: Cannot read property 'config' of undefined",high,"backend|deployment|bug"
"Users unable to login after authentication system upgrade. JWT tokens not validating correctly.",high,"auth|frontend|critical"
"Payment API integration broken. All transactions failing with 500 errors. Revenue impact!",high,"api|backend|payment"
"Memory leak in background worker process. Server memory increases 100MB/hour until crash.",high,"performance|backend|bug"
"URGENT: Zero-day vulnerability in password reset flow allows account takeover",high,"security|auth|critical"
"Data corruption in database migration. 10000+ user records lost.",high,"database|backend|critical"
"API rate limiting not working. Bots flooding endpoints causing service degradation.",high,"api|backend|performance"
"Regression: Images not loading in production. CDN integration broken after latest deploy.",high,"frontend|deployment|bug"
"Feature: Add pagination to user dashboard. Currently loading 100k records causing timeout",medium,"frontend|feature|performance"
"Improve error messages for form validation. Users report confusing validation feedback.",medium,"ux|frontend"
"Add loading states and skeleton screens. UI feels unresponsive during data fetch.",medium,"ui|frontend|feature"
"Slow query performance on reports page. Takes 30 seconds to load. Need optimization.",medium,"database|performance|backend"
"Add comprehensive unit tests for payment processing module. Currently only 40% coverage.",medium,"testing|backend"
"Refactor authentication middleware for better maintainability and security",medium,"refactor|backend|auth"
"Update API documentation for v2 endpoints. Current docs missing parameter descriptions.",medium,"documentation|api"
"Optimize database indexes for faster query performance. Current indexes are suboptimal.",medium,"database|performance|backend"
"Add TypeScript strict mode for better type safety",medium,"refactor|backend"
"Improve error handling and retry logic for API calls",medium,"backend|feature"
"Discussion: Should we add dark mode theme support? Users requesting it.",low,"discussion|ui|frontend"
"What's the best approach: REST vs GraphQL for our API?",low,"discussion|api"
"Consider migrating from Webpack to Vite for faster builds",low,"discussion|deployment"
"Update project dependencies to latest versions. Several outdated packages.",low,"maintenance"
"Add CSS animations for page transitions and button hover states",low,"ui|frontend|feature"
"Write technical blog post about our microservices architecture",low,"documentation"
"Good first issue: Add unit tests for utility functions",low,"testing|good-first-issue"
"Research alternative cloud providers for cost optimization",low,"discussion|deployment"
"Code formatting consistency: Apply Prettier to entire codebase",low,"maintenance|refactor"
"Add emoji support for user comments and reactions",low,"feature|frontend"
"Feature: Real-time notifications using WebSocket. Currently using polling.",medium,"feature|backend|performance"
"Accessibility: Add ARIA labels to all interactive components",medium,"frontend|feature|accessibility"
"Bug: Search functionality breaks with special characters in query",high,"bug|frontend|api"
"Performance: Cache API responses to reduce network requests",medium,"performance|backend|feature"
"Critical: Cross-site scripting (XSS) vulnerability in comment section",high,"security|frontend|critical"
