issue_title,difficulty,tags
"Database connection pool exhausted causing production outage.",hard,"database|backend|server"
"Security vulnerability in authentication allows session hijacking.",hard,"security|authentication|backend"
"Production server crashes with memory leak every 2 hours.",hard,"server|memory|backend"
"Users cannot login after update. JWT validation failing.",hard,"login|authentication|jwt"
"Payment processing broken. Transactions returning 500 errors.",hard,"payment|api|server"
"SQL injection vulnerability in search endpoint.",hard,"security|database|sql"
"API response times increased from 200ms to 15 seconds.",hard,"api|performance|server"
"Data loss during database migration affecting customer records.",hard,"database|migration|data"
"Zero-day exploit in password reset functionality.",hard,"security|password|authentication"
"Production webpack build fails with cryptic error.",hard,"webpack|build|deployment"
"Mobile app crashes on launch for iOS users.",hard,"mobile|ios|crash"
"SSL certificate expired causing HTTPS failures.",hard,"ssl|certificate|security"
"Race condition in checkout causing duplicate orders.",hard,"backend|checkout|bug"
"Websocket connections dropping every 30 seconds.",hard,"websocket|connection|backend"
"CDN broken. Static assets returning 404 errors.",hard,"cdn|assets|deployment"
"Redis cache corruption causing data inconsistency.",hard,"redis|cache|database"
"File upload allows arbitrary code execution on server.",hard,"security|upload|backend"
"Docker containers failing to start after update.",hard,"docker|containers|deployment"
"GraphQL mutations timing out under normal load.",hard,"graphql|api|performance"
"User passwords exposed in application logs.",hard,"security|password|logging"
"Third-party API integration broken after their update.",hard,"api|integration|backend"
"Kubernetes pods stuck in CrashLoopBackOff state.",hard,"kubernetes|pods|deployment"
"Email notifications not sending. Queue backed up.",hard,"email|queue|backend"
"Cross-site scripting XSS vulnerability in profile page.",hard,"security|xss|frontend"
"Database deadlocks during peak traffic hours.",hard,"database|deadlock|performance"
"Authentication tokens not expiring properly.",hard,"authentication|token|security"
"Server returning 502 errors. Load balancer issue.",hard,"server|loadbalancer|deployment"
"Sensitive data exposed through unauthenticated API.",hard,"security|api|data"
"Background jobs failing silently without logging.",hard,"backend|jobs|logging"
"Production database running out of disk space.",hard,"database|storage|server"
"CSRF protection bypassed on form submissions.",hard,"security|csrf|frontend"
"Memory usage at 100% causing server unresponsive.",hard,"memory|server|performance"
"OAuth Google sign-in integration broken.",hard,"oauth|google|authentication"
"Stripe webhook failing. Payments not processing.",hard,"stripe|webhook|payment"
"Session fixation vulnerability allows account takeover.",hard,"security|session|authentication"
"Database replica out of sync causing inconsistency.",hard,"database|replication|backend"
"API rate limiter broken. Bots abusing service.",hard,"api|ratelimit|security"
"Elasticsearch cluster down. Search not working.",hard,"elasticsearch|search|backend"
"Uploaded files accessible without authentication.",hard,"security|files|upload"
"Deployment pipeline stuck. Cannot push hotfixes.",hard,"deployment|pipeline|devops"
"Credit card numbers logged in plain text.",hard,"security|payment|logging"
"Microservice communication failing with timeouts.",hard,"microservice|api|backend"
"Database backup job failing for 2 weeks.",hard,"database|backup|devops"
"Load balancer health checks failing.",hard,"loadbalancer|health|deployment"
"Admin panel accessible without role verification.",hard,"security|admin|authentication"
"Message queue consumers crashing. Events not processed.",hard,"queue|messaging|backend"
"DNS propagation issue. Users cannot reach site.",hard,"dns|network|deployment"
"Infinite loop in worker consuming all CPU.",hard,"backend|cpu|performance"
"Password reset tokens never expire.",hard,"password|token|security"
"Real-time notifications broken after server update.",hard,"notifications|realtime|backend"
